"Dhin" "Dain" "Bwin" "Erosion" "deltacrest"
"133" 3.129 53.206 33.000 3.129 0.000
"134" 4.729 84.972 33.000 0.000 0.000
"135" 5.129 97.851 33.000 0.000 0.000
"136" 5.629 117.299 33.000 0.000 0.000
"137" 6.129 135.432 33.000 0.000 0.000
"138" 2.529 22.91 33.000 5.290 0.330
"139" 2.829 28.386 33.000 2.829 0.000
"140" 3.129 34.432 33.000 3.129 0.000
"141" 3.429 41.047 33.000 1.715 0.000
"142" 3.729 48.233 33.000 0.000 0.000
"143" 4.029 55.989 33.000 0.000 0.000
"144" 3.429 61.622 33.000 1.715 0.000
"145" 4.329 64.314 33.000 0.000 0.000
"146" 4.729 75.514 33.000 0.000 0.000
"147" 5.129 87.593 33.000 0.000 0.000
"148" 5.629 106.041 33.000 0.000 0.000
"149" 6.129 123.174 33.000 0.000 0.000
"150" 2.529 17.852 33.000 7.284 1.000
"151" 2.829 22.728 33.000 5.488 0.670
"152" 3.129 28.174 33.000 3.060 0.330
"153" 3.429 34.189 33.000 4.096 0.280
"154" 3.729 40.775 33.000 0.000 0.000
"155" 3.729 70.607 33.000 0.000 0.000
"156" 4.029 47.931 33.000 0.000 0.000
"157" 4.329 55.656 33.000 0.000 0.000
"158" 4.729 66.056 33.000 0.000 0.000
"159" 5.129 77.335 33.000 0.000 0.000
"160" 5.629 94.783 33.000 0.000 0.000
"161" 6.129 110.916 33.000 0.000 0.000
"162" 4.029 80.163 33.000 0.000 0.000
"163" 4.329 90.289 33.000 0.000 0.000
"164" 4.729 103.888 33.000 0.000 0.000
"165" 5.129 118.367 33.000 0.000 0.000
"166" 2.529 41.878 33.000 1.265 0.000
"167" 5.629 153.888 33.000 0.000 0.000
"168" 6.129 178.335 33.000 0.000 0.000
"169" 2.529 36.82 33.000 1.265 0.000
"170" 2.829 43.946 33.000 0.000 0.000
"171" 3.129 51.641 33.000 0.000 0.000
"172" 3.429 59.907 33.000 0.000 0.000
"173" 3.729 70.607 33.000 0.000 0.000
