6	1	4000	12000	0	1	78.4	1633
5	1	119400	119400	0	2	418.4	1609
1	1	138900	243200	1984	2	323.8	189
1	1	138900	243200	1984	2	323.8	1634
1	1	138900	254700	1989	2	324.2	285
1	1	138900	218100	1979	2	339.7	131
1	1	138900	221600	1979	2	354.9	129
1	1	142100	207900	1984	2	278.3	128
1	1	142100	142100	1976	2	278.6	3189
1	1	142100	235500	1976	2	293.6	1629
1	1	142100	241000	1972	2	293.7	1628
5	1	142100	263800	0	2	308.6	3284
1	1	142100	200200	1987	2	308.7	1631
1	1	142100	200200	1972	2	308.7	143
1	1	148500	247600	1971	2	346.7	529
1	1	150400	370400	1986	2	339.1	211
1	1	153900	287100	1983	2	293.4	212
1	1	174500	383200	1989	2	229.7	1608
1	1	174500	343500	1990	2	229.8	130
5	1	174500	446000	0	2	229.8	157
1	1	174500	345000	1988	2	230.0	1635
1	1	174500	312800	1988	2	244.9	3109
1	1	190400	373700	1989	2	214.5	136
2	1	224100	400100	1986	2	403.4	204
1	1	231100	417100	1989	2	183.7	141
1	1	231100	427400	1988	2	184.0	1626
1	1	231100	426800	1989	2	184.0	213
1	1	231100	421900	1989	2	184.2	210
1	1	231100	430400	1989	2	184.3	138
5	1	231100	520100	0	2	184.4	1627
1	1	242600	360600	1970	2	130.7	214
1	1	242600	360600	1970	2	130.7	142
5	1	371100	371100	0	1	82.0	218
1	1	582100	626000	1960	1	67.1	3402
1	1	636700	860200	1995	1	78.8	209
1	1	639400	787300	1958	1	76.2	139
1	1	645700	948900	1990	1	78.6	159
1	1	663900	1147100	1986	1	79.1	1632
1	1	138900	209700	1977	2	324.8	162
1	1	138900	217700	1977	2	325.2	145
1	1	138900	200300	1974	2	340.1	149
1	1	138900	239600	1987	2	340.5	1933
1	1	138900	198200	1972	2	355.2	205
1	1	138900	229500	1982	2	355.6	137
1	1	142100	254700	1973	2	279.0	95
1	1	142100	227200	1974	2	279.2	284
1	1	142100	214900	1973	2	294.4	144
1	1	142100	251500	1976	2	294.8	185
1	1	142100	216100	1976	2	309.6	363
1	1	142100	240500	1983	2	309.9	1446
1	1	150400	273700	1982	2	340.1	203
1	1	153900	261200	1978	2	294.2	155
5	1	174500	174500	0	2	230.2	140
5	1	174500	174500	0	2	230.2	254
1	1	174500	305900	1980	2	230.3	184
1	1	194300	342800	1977	2	242.2	133
1	1	194900	294000	1971	2	219.4	134
1	1	231100	231100	1990	2	184.4	255
5	1	231100	231100	0	2	184.4	262
1	1	231100	231100	1990	2	184.7	150
5	1	231100	465500	0	2	184.7	253
5	1	231100	450800	0	2	184.9	154
1	1	231100	439800	1991	2	184.9	135
6	1	533700	554600	0	1	79.6	132
1	1	645700	858800	1960	1	79.4	206
1	1	645700	1019800	1990	1	79.6	147
1	1	645700	1019800	1990	1	79.6	261
1	1	645700	1035100	1990	1	79.7	217
1	1	645700	1035100	1990	1	79.7	263
1	1	645700	1035100	1990	1	79.7	216
1	1	663900	1152800	1978	1	79.3	146
1	1	973200	1763400	1994	1	78.9	259
3	1	1003700	1906200	1977	2	411.4	156
1	1	138900	197300	1976	2	325.3	202
1	1	138900	217400	1969	2	340.5	207
1	1	138900	208300	1972	2	355.8	208
5	1	142100	197800	0	2	279.4	3043
1	1	142100	142100	1965	2	294.8	98
1	1	142100	191600	1967	2	310.1	183
1	1	143700	249600	1987	2	325.9	158
1	1	143700	251900	1979	2	340.7	152
1	1	143700	242300	1979	2	340.7	192
1	1	143700	232100	1987	2	341.1	258
